1,1,Sunrise Max 868,Beauty,326.97,Valid
2,2,Orbit X 832,Home,598.36,Valid
3,3,Zenith Pro 854,Toys,582.10,Valid
4,4,Primewear Max 639,Outdoor,581.35,Valid
5,5,Sunrise Plus 857,Toys,574.93,Valid
6,6,Zenith X 612,Home,625.16,Valid
7,7,Primewear Pro 409,Outdoor,455.17,Valid
8,8,Orbit Lite 161,Kitchen,634.25,Valid
9,9,Sunrise Classic 678,Outdoor,426.36,Valid
10,10,Zenith Plus 863,Kitchen,33.72,Valid
11,11,Orbit Pro 442,Apparel,409.28,Valid
12,12,Primewear Pro 878,Office,206.62,Valid
13,13,Zenith Max 257,Office,312.90,Valid
14,14,Terrahome Plus 174,Apparel,352.09,Valid
15,15,Sunrise Classic 348,Office,319.69,Valid
16,16,Primewear Plus 623,Toys,507.28,Valid
17,17,Aquapure X 778,Office,107.12,Valid
18,18,Zenith Plus 720,Kitchen,591.36,Valid
19,19,Aquapure Pro 896,Toys,244.19,Valid
20,20,Orbit Lite 517,Outdoor,375.97,Valid
21,21,Novagoods Plus 631,Office,635.50,Valid
22,22,Econotech Classic 343,Outdoor,148.91,Valid
23,23,Primewear X 210,Outdoor,440.20,Valid
24,24,Orbit Lite 206,Beauty,516.69,Valid
25,25,Aquapure Lite 102,Electronics,555.08,Valid
26,26,Econotech Classic 579,Toys,129.58,Valid
27,27,Sunrise X 279,Office,370.80,Valid
28,28,Econotech Max 511,Office,164.56,Valid
29,29,Orbit Plus 774,Kitchen,21.38,Valid
30,30,Primewear Classic 510,Beauty,83.87,Valid
31,31,Novagoods Lite 163,Apparel,164.72,Valid
32,32,Orbit Classic 528,Toys,227.17,Valid
33,33,Aquapure X 899,Beauty,599.35,Valid
34,34,Terrahome Pro 287,Office,289.17,Valid
35,35,Aquapure X 134,Outdoor,401.36,Valid
36,36,Primewear Plus 671,Toys,156.11,Valid
37,37,Aquapure Max 912,Office,633.81,Valid
38,38,Terrahome Max 163,Kitchen,432.36,Valid
39,39,Aquapure Max 267,Apparel,437.55,Valid
40,40,Sunrise X 241,Beauty,501.52,Valid
41,41,Zenith Max 503,Kitchen,444.67,Valid
42,42,Terrahome Lite 701,Beauty,115.25,Valid
43,43,Aquapure Plus 386,Toys,358.77,Valid
44,44,Econotech Classic 357,Apparel,369.88,Valid
45,45,Aquapure Plus 476,Home,184.42,Valid
46,46,Primewear Pro 566,Outdoor,227.19,Valid
47,47,Novagoods Pro 680,Apparel,305.54,Valid
48,48,Aquapure Pro 518,Toys,439.76,Valid
49,49,Sunrise Lite 148,Home,170.48,Valid
50,50,Zenith Plus 136,Apparel,156.47,Valid
